bgg_id,name,mine,chatgpt,final,,,,
2073,Acting,Acting,Miscellaneous,Role Playing,,,,"'Role Playing',"
2838,Action Drafting,Drafting,Action,Drafting,,,,"'Drafting',"
2001,Action Points,Action,Action,Action,,,,"'Action',"
2689,Action Queue,Queue,Action,Queue,,,,"'Queue',"
2839,Action Retrieval,Action,Action,Action,,,,"'Action',"
2834,Action Timer,Other,Action,Action,,,,"'Action',"
2840,Action/Event,Action,Action,Action,,,,"'Action',"
2847,Advantage Token,Other,Miscellaneous,Miscellaneous,,,,"'Miscellaneous',"
2916,Alliances,Negotiation,Social Interaction,Social Interaction,,,,"'Social Interaction',"
2080,Area Majority / Influence,Control,Combat and Conflict,Control,,,,"'Control',"
2046,Area Movement,Movement,Movement,Movement,,,,"'Movement',"
2021,Area-Impulse,Other,Movement,Movement,,,,"'Movement',"
3098,Auction Compensation,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2012,Auction/Bidding,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2930,Auction: Dexterity,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2924,Auction: Dutch,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2932,Auction: Dutch Priority,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2918,Auction: English,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2931,Auction: Fixed Placement,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2927,Auction: Multiple Lot,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2923,Auction: Once Around,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2920,Auction: Sealed Bid,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2919,Auction: Turn Order Until Pass,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2903,Automatic Resource Growth,Other,Resource Management,Resource Management,,,,"'Resource Management',"
2014,Betting and Bluffing,Bluffing,Social Interaction,Bluffing,,,,"'Bluffing',"
2957,Bias,Asymetric Powers,Miscellaneous,Asymetric Powers,,,,"'Asymetric Powers',"
3097,Bids As Wagers,Auction/Bidding,,Auction/Bidding,,,,"'Auction/Bidding',"
2999,Bingo,Other,Game Progression,Miscellaneous,,,,"'Miscellaneous',"
2913,Bribery,Other,Social Interaction,Social Interaction,,,,"'Social Interaction',"
2018,Campaign / Battle Card Driven,Campaign Game,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2857,Card Play Conflict Resolution,Combat and Conflict,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2887,Catch the Leader,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2956,Chaining,Other,Movement,Movement,,,,"'Movement',"
2057,Chit-Pull System,"Deck, Bag, and Pool Building",Miscellaneous,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
2984,Closed Drafting,Drafting,,Drafting,,,,"'Drafting',"
2928,Closed Economy Auction,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2841,Command Cards,"Deck, Bag, and Pool Building",Action,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
2013,Commodity Speculation,Investment,Resource Management,Investment,,,,"'Investment',"
2893,Communication Limits,Social Interaction,Social Interaction,Social Interaction,,,,"'Social Interaction',"
2883,Connections,Spatial,Spatial,Spatial,,,,"'Spatial',"
2922,Constrained Bidding,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2912,Contracts,Pick-up and Deliver,Resource Management,Pick-up and Deliver,,,,"'Pick-up and Deliver',"
2023,Cooperative Game,Cooperative Game,,Cooperative Game,,,,"'Cooperative Game',"
2010,Crayon Rail System,Other,Miscellaneous,Miscellaneous,,,,"'Miscellaneous',"
2854,Critical Hits and Failures,Combat and Conflict,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2990,Cube Tower,Other,Spatial,Spatial,,,,"'Spatial',"
3004,Deck Construction,"Deck, Bag, and Pool Building",,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
2664,"Deck, Bag, and Pool Building","Deck, Bag, and Pool Building",,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
3002,Deduction,Deduction,,Deduction,,,,"'Deduction',"
2901,Delayed Purchase,Other,Resource Management,Resource Management,,,,"'Resource Management',"
2072,Dice Rolling,Dice Rolling,,Dice Rolling,,,,"'Dice Rolling',"
2856,Die Icon Resolution,Dice Rolling,Combat and Conflict,Dice Rolling,,,,"'Dice Rolling',"
2950,Different Dice Movement,Dice Rolling,,Dice Rolling,,,,"'Dice Rolling',"
3096,Drawing,Other,,Miscellaneous,,,,"'Miscellaneous',"
2882,Elapsed Real Time Ending,Other,,Game Progression,,,,"'Game Progression',"
2043,Enclosure,Resource Management,Resource Management,Resource Management,,,,"'Resource Management',"
2875,End Game Bonuses,Goals,Game Progression,End Game Bonuses,,,,"'End Game Bonuses',"
2850,Events,Events,,Events,,,,"'Events',"
2885,Finale Ending,Other,,Miscellaneous,,,,"'Miscellaneous',"
2860,Flicking,Other,,Miscellaneous,,,,"'Miscellaneous',"
2843,Follow,Other,,Miscellaneous,,,,"'Miscellaneous',"
2864,Force Commitment,Other,,Miscellaneous,,,,"'Miscellaneous',"
2978,Grid Coverage,Grid,Movement,Grid,,,,"'Grid',"
2676,Grid Movement,Grid,Movement,Grid,,,,"'Grid',"
2040,Hand Management,"Deck, Bag, and Pool Building",Resource Management,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
2026,Hexagon Grid,Grid,Movement,Grid,,,,"'Grid',"
2967,Hidden Movement,Movement,Movement,Movement,,,,"'Movement',"
2891,Hidden Roles,Asymetric Powers,Social Interaction,Asymetric Powers,,,,"'Asymetric Powers',"
2987,Hidden Victory Points,Other,Game Progression,Asymetric Powers,,,,"'Asymetric Powers',"
2889,Highest-Lowest Scoring,Other,,Game Progression,,,,"'Game Progression',"
3000,Hot Potato,Other,Game Progression,Miscellaneous,,,,"'Miscellaneous',"
2906,"I Cut, You Choose",Other,,Miscellaneous,,,,"'Miscellaneous',"
2952,Impulse Movement,Other,Movement,Movement,,,,"'Movement',"
2902,Income,Resource Management,Resource Management,Resource Management,,,,"'Resource Management',"
